邮箱类型,邮箱,电话类型,电话,性别,身份证类型,身份证号码,学生类型,学号
TSINGHUA,fe79@mails.tsinghua.edu.cn,MOBILE,15041197655,WOMAN,NUM18,623579200010100187,MASTER,2003223721
NETEASE163,nsoxdaxfv@163.com,LANDLINE,874-5656569,WOMAN,NUM15,217087051114112,BACHELOR,2013010235
QQ,579266066194@qq.com,MOBILE,16535180545,MAN,NUM18,49307719131002007X,BACHELOR,2002047793
QQ,0323179118@qq.com,LANDLINE,5868-6235255,MAN,NUM15,318789590109117,MASTER,2005240787
TSINGHUA,aqt73@mails.tsinghua.edu.cn,MOBILE,13214695944,WOMAN,NUM18,15810020070830118X,BACHELOR,2009003622
QQ,39108@qq.com,MOBILE,26113447015,MAN,NUM15,354040561030003,DOCTOR,2002310775
QQ,7513@qq.com,MOBILE,17380984424,WOMAN,NUM18,68867720071131012X,MASTER,2005277470
TSINGHUA,sztk59@mails.tsinghua.edu.cn,LANDLINE,0897-1000606,WOMAN,NUM15,063384100631116,BACHELOR,2010203872
NETEASE163,nlrovgbxwxjpvkxef@163.com,MOBILE,23486570548,MAN,NUM18,005840200309281156,MASTER,2013273524
TSINGHUA,rdjignx83@mails.tsinghua.edu.cn,LANDLINE,294-7958929,WOMAN,NUM15,194506740405108,MASTER,2018284168
NETEASE163,oospvpmdmtbb@163.com,LANDLINE,8340-5243775,WOMAN,NUM18,27786220071312104X,MASTER,2004398412
TSINGHUA,whx55@mails.tsinghua.edu.com,MOBILE,11522238904,MAN,NUM15,528816720831017,DOCTOR,2006341670
NETEASE163,fcvkgwp@163.com,MOBILE,11860057432,MAN,NUM15,342109960531001,BACHELOR,2015167193
TSINGHUA,vjda92@mails.tsinghua.edu.cn,LANDLINE,0738-0803729,WOMAN,NUM15,745708641315108,BACHELOR,2018064433
NETEASE163,hckn@163.com,LANDLINE,9012-4497194,WOMAN,NUM18,46638019790330002X,MASTER,2015230383
QQ,38187@qq.com,MOBILE,116630142706,MAN,NUM15,300344390522117,DOCTOR,2016399005
NETEASE163,owuorjvo@163.com,LANDLINE,2797-6581947,MAN,NUM18,36273120091315113X,MASTER,2009213103
NETEASE163,iwrzfkgzniji@163.com,LANDLINE,131-6875987,MAN,NUM18,601121198102200130,BACHELOR,2000183159
NETEASE163,tlwbpsqibqubkixrpit@163.com,LANDLINE,443-2821771,WOMAN,NUM18,819994190412090169,MASTER,2012229397
NETEASE163,zkcdjtuodpnemtfjaej@163.com,LANDLINE,4533-5354394,MAN,NUM15,359917750101103,DOCTOR,2005387249
NETEASE163,lblphnsxfsmvfttpba@163.com,MOBILE,14390201260,WOMAN,NUM15,539802270830112,BACHELOR,2000107581
TSINGHUA,qhy93@mail.tsinghua.edu.cn,LANDLINE,0766-7210612,WOMAN,NUM18,808556197610160161,MASTER,2018267194
TSINGHUA,fawa32@mails.tsinghua.edu.cn,LANDLINE,2772-0946135,WOMAN,NUM15,487279020024118,DOCTOR,2008377972
TSINGHUA,ypjCtyb09@mails.tsinghua.edu.cn,LANDLINE,690-0804886,MAN,NUM15,935472541108111,BACHELOR,2007181752
NETEASE163,mmqr@163.cn,LANDLINE,236-7437729,WOMAN,NUM18,478247194603300149,MASTER,2007243068
TSINGHUA,mochg56@mails.tsinghua.edu.cn,LANDLINE,5258-9993975,MAN,NUM15,289846670505007,BACHELOR,2003159298
NETEASE163,nbbmhksuq@163.com,MOBILE,17864083568,WOMAN,NUM18,703671196810300161,BACHELOR,2016052966
